codigo_iccs;subtipo_objeto_robado;nombre_objeto;cantidad;calibre;clase_arma;calidad_de;fabricacion;fecha_evento;hora_evento;tipo_lugar;lugar;codigo_zona;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;tipo_delito;delito;modalidad
05.02.013;ARMA DE FUEGO;PISTOLAS;1;OTRO;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;01/01/2024;2:50;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D06;09D06C04;09D06C04S05;ZONA 8;FLORIDA;JUAN MONTALVO;JUAN MONTALVO 5;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;01/01/2024;8:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;24D02;24D02C06;24D02C06S02;ZONA 5;LIBERTAD SALINAS;SANTA ROSA;SANTA ROSA 2;24;2403;240350;SANTA ELENA;SALINAS;SALINAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;AUTOMÁTICO;RETENIDO;IMPORTADA;01/01/2024;8:45;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 4;23D02;23D02C03;23D02C03S02;ZONA 4;SANTO DOMINGO OESTE;BOMBOLI;BOMBOLI 2;23;2301;230150;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACIÓN PÚBLICA;ATAQUE O RESISTENCIA;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;TIRO A TIRO;APREHENDIDO;IMPORTADA;01/01/2024;9:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D04;21D04C01;21D04C01S01;ZONA 1;SHUSHUFINDI;LA PRIMAVERA;LA PRIMAVERA 1;21;2104;210450;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;TIRO A TIRO;APREHENDIDO;IMPORTADA;01/01/2024;9:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D04;21D04C01;21D04C01S01;ZONA 1;SHUSHUFINDI;LA PRIMAVERA;LA PRIMAVERA 1;21;2104;210450;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;01/01/2024;20:45;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 4;13D02;13D02C07;13D02C07S02;ZONA 4;MANTA;CENTRO;CENTRO 2;13;1308;130850;MANABI;MANTA;MANTA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.15.001;ARMAS DE FOGUEO;PISTOLAS;1;9 mm;TIRO A TIRO;RETENIDO;IMPORTADA;01/01/2024;10:10;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D04;21D04C01;21D04C01S01;ZONA 1;SHUSHUFINDI;LA PRIMAVERA;LA PRIMAVERA 1;21;2104;210450;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;TIRO A TIRO;RETENIDO;ARTESANAL;02/01/2024;0:05;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 6;14D05;14D05C02;14D05C02S01;ZONA 6;TAISHA;TAISHA CENTRO;TAISHA CENTRO 1;14;1409;140950;MORONA SANTIAGO;TAISHA;TAISHA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;TIRO A TIRO;RETENIDO;ARTESANAL;02/01/2024;0:05;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 6;14D05;14D05C02;14D05C02S01;ZONA 6;TAISHA;TAISHA CENTRO;TAISHA CENTRO 1;14;1409;140950;MORONA SANTIAGO;TAISHA;TAISHA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;ENCONTRADA;IMPORTADA;03/01/2024;14:45;ÁREAS DEDICADAS AL COMERCIO;OTRO LOCAL COMERCIAL;ZONA 7;07D02;07D02C01;07D02C01S02;ZONA 7;MACHALA;9 DE MAYO;9 DE MAYO 2;7;701;70150;EL ORO;MACHALA;MACHALA;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO A PERSONAS;ASALTO
