Tipo Muert.;Zona;Subzona;Distrito;Circuito;Cod. Subcircu;Subcircuito;provincia;código de provincia;cantón;código de cantón;Coord. Y;Coord. X;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Presun. Motiva.;Presun. Motiva. Obser;Probable Causa M.;Edad;Med. Edad;Sexo;Género;Etnia;Estado Civil;Nacionalidad;Discapacidad;Prof Reg Civ;Instrucción;Antecedentes
HOMICIDIO;ZONA 9;DMQ;LA DELICIA;LA ROLDOS;17D03C05S02;LA ROLDOS 2;PICHINCHA;17;QUITO;1701;-0,085290;-78,511880;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;2:55;ARMA BLANCA;CUCHILLO            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;20;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;NINGUNA;SIN_DATO;SIN_DATO
HOMICIDIO;ZONA 2;PICHINCHA;RUMIÑAHUI - MEJIA;MACHACHI SUR;17D11C01S01;MACHACHI SUR 1;PICHINCHA;17;MEJIA;1703;-0,510390;-78,568840;URBANO;CASA/VILLA;PRIVADO;01/01/2024;0:30;ARMA BLANCA;CUCHILLO            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;31;A;HOMBRE;MASCULINO;MESTIZO/A;NO DETERMINADO;VENEZUELA;NINGUNA;SIN_DATO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 1;ESMERALDAS;QUININDE;LA UNION;08D04C08S01;LA UNION 1;ESMERALDAS;8;QUININDE;804;0,141130;-79,376480;RURAL;VIA PUBLICA;PUBLICO;01/01/2024;2:00;ARMA DE FUEGO;OTRO;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;PORTOVIEJO;EL FLORON;13D01C04S03;EL FLORON 3;MANABÍ;13;PORTOVIEJO;1301;-1,065520;-80,463110;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;10:40;ARMA DE FUEGO;FUSIL               ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;42;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;OBRERO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 7;EL ORO;ZARUMA;GUANAZAN;07D03C06S01;GUANAZAN 1;EL ORO;7;ZARUMA;713;-3,463680;-79,499100;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;2:30;ARMA BLANCA;CUCHILLO            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;20;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;TRABAJADOR;SIN_DATO;SIN_DATO
ASESINATO;ZONA 6;AZUAY;PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;01D07C02S01;CAMILO PONCE ENRIQUEZ 1;AZUAY;1;CAMILO PONCE ENRIQUEZ;115;-3,057520;-79,744080;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;3:10;ARMA DE FUEGO;REVOLVER            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA DE FUEGO;40;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;PERU;NINGUNA;LAS PERMI.POR.LA.LEY;SIN_DATO;SIN_DATO
ASESINATO;ZONA 7;EL ORO;MACHALA;WILSON FRANCO;07D02C18S01;WILSON FRANCO 1;EL ORO;7;MACHALA;701;-3,267930;-79,995790;URBANO;CASA/VILLA;PRIVADO;01/01/2024;8:10;ARMA DE FUEGO;REVOLVER            ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;40;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EMPLEADO;SIN_DATO;SIN_DATO
HOMICIDIO;ZONA 9;DMQ;ELOY ALFARO;FERROVIARIA;17D06C11S03;FERROVIARIA 3;PICHINCHA;17;QUITO;1701;-0,253340;-78,511060;URBANO;VIA PUBLICA;PUBLICO;01/01/2024;17:30;ARMA BLANCA;CORTO PUNZANTE;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;26;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;NINGUNA;INICIAL;SIN_DATO
ASESINATO;ZONA 5;GUAYAS;NARANJAL BALAO;SAN CARLOS;09D12C01S01;SAN CARLOS 1;GUAYAS;9;BALAO;903;-2,904080;-79,684770;RURAL;VIA PUBLICA;PUBLICO;01/01/2024;10:13;ARMA DE FUEGO;REVOLVER            ;DELINCUENCIA COMUN;ROBO A PERSONAS;HERIDA POR ARMA DE FUEGO;37;A;HOMBRE;MASCULINO;MESTIZO/A;CASADO;ECUADOR;NINGUNA;AGRICULTOR;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;GUAYAS;NARANJAL BALAO;NARANJAL SUR;09D12C04S01;NARANJAL SUR 1;GUAYAS;9;NARANJAL;911;-2,684240;-79,626650;RURAL;CASA/VILLA;PRIVADO;01/01/2024;19:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;31;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
